method,seed,train_size,r,K,h,time,rmseC,rmseC_alg,f1_1,f1_2,f1_3,macro_f1,weighted_f1,f1_1_dip,f1_2_dip,f1_3_dip,macro_f1_dip,weighted_f1_dip,rmse1,rmse5,rmse10,rmse12,rmse15,mae1,mae5,mae10,mae12,mae15,mape1,mape5,mape10,mape12,mape15,x_forecast,c_predicted
GP,46189,300,1,10,1,1296.266,0.31676,0.97165,0.99698,0.79,0,0.59566,0.79616,0.92701,0.53039,0,0.4858,0.6022,0.57939,0.36637,0.32225,0.30193,0.27344,0.57939,0.27949,0.24899,0.23521,0.19925,100,7367.47116,356216.6183,296863.8476,5.23E+06,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0e-5, 1.0e-5, 3.0e-5, 5.0e-5, 0.0001, 0.00019, 0.00036, 0.0007, 0.00137, 0.00267]","[-0.18741, -0.17508, -0.16261, -0.14862, -0.13528, -0.12202, -0.11008, -0.09713, -0.0823, -0.06734, -0.05441, -0.03953, -0.02392, -0.00741, 0.00996, 0.02494, 0.04014, 0.0548, 0.06901, 0.08264, 0.09404, 0.10485, 0.11607, 0.12929, 0.14268, 0.15575, 0.16987, 0.18457, 0.19969, 0.21478, 0.2292, 0.24237, 0.25637, 0.27089, 0.28484, 0.29777, 0.31077, 0.32307, 0.33496, 0.34667, 0.35961, 0.37167, 0.38338, 0.39525, 0.40391, 0.41392, 0.42466, 0.43652, 0.44827, 0.46223, 0.4768, 0.49492, 0.51134, 0.5266, 0.54058, 0.55485, 0.56763, 0.5795, 0.59106, 0.60257, 0.61459, 0.62769, 0.6419, 0.6563, 0.66858, 0.68147, 0.69322, 0.70568, 0.7186, 0.7323, 0.74696, 0.76102, 0.77586, 0.78914, 0.80442, 0.81787, 0.82972, 0.8419, 0.85274, 0.8623, 0.87076, 0.87849, 0.887, 0.89511, 0.90429, 0.91368, 0.92199, 0.93041, 0.93921, 0.94768, 0.95575, 0.96489, 0.97415, 0.98307, 0.99191, 0.99942, 1.00594, 1.01188, 1.01765, 1.02423, 1.03154, 1.03919, 1.04766, 1.05643, 1.06482, 1.07311, 1.08265, 1.09043, 1.0979, 1.10597, 1.11381, 1.12125, 1.12931, 1.13691, 1.14439, 1.15157, 1.15836, 1.16487, 1.17176, 1.17802, 1.18499, 1.1921, 1.19842, 1.20468, 1.21196, 1.22039, 1.22946, 1.23963, 1.25002, 1.26132, 1.27261, 1.28351, 1.29463, 1.30532, 1.31558, 1.32457, 1.3329, 1.34099, 1.34921, 1.35616, 1.36346, 1.36903, 1.37376, 1.37772, 1.38115, 1.38375, 1.38642, 1.38932, 1.39102, 1.39289, 1.39515, 1.39872, 1.40421, 1.41209, 1.42156, 1.43177, 1.44287, 1.45509, 1.4663, 1.4806, 1.49309, 1.50479, 1.51812, 1.5327, 1.54511, 1.5579, 1.5728, 1.58884, 1.60555, 1.62168, 1.63978, 1.65656, 1.67401, 1.68972, 1.7054, 1.72072, 1.73614, 1.75148, 1.76676, 1.78377, 1.79926, 1.81443, 1.82769, 1.84227, 1.85754, 1.87244, 1.88646, 1.90011, 1.91458, 1.92832, 1.94341, 1.95672, 1.96863, 1.97893, 1.9891, 1.99923, 2.00965, 2.02157, 2.03422, 2.04709, 2.05756, 2.06697, 2.07539, 2.08312, 2.0909, 2.09948, 2.10833, 2.11763, 2.1266, 2.13452, 2.14135, 2.1473, 2.15179, 2.15499, 2.15679, 2.15709, 2.156, 2.15367, 2.1512, 2.14903, 2.14692, 2.1445, 2.14219, 2.13973, 2.13752, 2.13526, 2.13305, 2.13082, 2.12884, 2.12627, 2.12369, 2.12124, 2.11891, 2.11647, 2.11403, 2.11154, 2.1092, 2.10705, 2.10502, 2.10321, 2.10114, 2.09941, 2.09781, 2.09617, 2.09433, 2.09216, 2.09033, 2.08856, 2.08678, 2.08498, 2.08314, 2.08149, 2.0797, 2.078, 2.07615, 2.07459, 2.07322, 2.07153, 2.06974, 2.06802, 2.0661, 2.06431, 2.06223, 2.06003, 2.05789, 2.05565, 2.05358, 2.05145, 2.04951, 2.04781, 2.04586, 2.04385, 2.04168, 2.03998, 2.03836, 2.03681, 2.03523, 2.03349, 2.03171, 2.03023, 2.02847, 2.02675, 2.0249, 2.02289, 2.0205, 2.01823, 2.01595, 2.01401, 2.01206, 2.01011, 2.00799, 2.00585, 2.00357, 2.00183, 1.99973, 1.99769, 1.99548, 1.99313, 1.99066, 1.98832]"
ARIMA,46189,300,1,10,1,20.008,,,,,,,,,,,,,0.57939,0.36637,0.32225,0.30193,0.27345,0.57939,0.27949,0.24899,0.23521,0.19925,100,80,80,83.33333,73.33333,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
RandomWalk,46189,300,1,10,1,1.233,,,,,,,,,,,,,0.57939,0.36637,0.32225,0.30193,0.27345,0.57939,0.27949,0.24899,0.23521,0.19925,100,80,80,83.33333,73.33333,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
LSTM,46189,300,1,10,1,642.833,,,,,,,,,,,,,0.1911,0.27528,0.29328,0.299,0.33244,0.1911,0.25385,0.25976,0.27079,0.30351,32.98288,8.32E+10,9.12E+10,7.60E+10,1.26E+11,"[0.38829, 0.35228, 0.41596, 0.41708, 0.45443, 0.4637, 0.48289, 0.4887, 0.48923, 0.49632, 0.4917, 0.49276, 0.49069, 0.49026, 0.48841, 0.48757, 0.48637, 0.48578, 0.48526, 0.48487]",
Alg_c,46189,300,1,10,1,0,0.97165,0.97165,0.89375,0.56911,0.61972,0.69419,0.77499,0.82482,0.40741,0.66667,0.63296,0.69867,,,,,,,,,,,,,,,,,"[0.0, 0.09968, 0.0, 0.0, 0.0, 0.0, 0.05901, 0.0, 0.3597, 0.26821, 0.0, 0.0, 0.0, 0.32659, 0.55995, 0.30642, 0.02166, 0.0, 0.0, 0.55045, 0.13503, 0.0, 0.72243, 0.67036, 0.0, 0.0, 0.0, 0.05351, 0.16198, 0.0, 0.37861, 0.32567, 0.0, 0.17543, 0.20748, 0.29526, 0.0, 0.09126, 0.22094, 0.0, 0.16418, 0.31762, 0.40885, 0.34969, 0.62682, 0.43707, 0.49104, 0.71135, 0.7385, 0.0, 0.198, 0.85424, 0.57244, 0.29626, 0.27157, 0.58043, 0.71962, 0.40212, 0.73423, 0.36764, 0.37846, 0.74489, 0.57001, 0.57958, 0.4705, 0.84556, 0.68786, 0.79121, 0.3137, 0.0, 1.00336, 1.10641, 0.77422, 0.46791, 1.23205, 0.89701, 0.86816, 0.552, 1.05091, 0.55425, 1.04062, 0.68262, 0.83355, 0.34152, 0.82536, 0.79169, 1.0571, 0.34296, 1.16406, 0.27463, 1.0753, 0.8083, 1.25238, 0.49423, 1.1084, 0.76873, 1.15918, 0.88202, 0.75849, 1.66134, 0.8425, 1.19177, 1.04255, 0.9008, 1.51857, 1.10197, 0.8627, 1.22792, 1.02022, 1.06713, 0.85547, 0.97849, 0.83792, 1.56234, 0.89892, 1.44804, 1.27895, 0.79513, 1.08352, 1.14466, 1.76511, 0.85688, 1.22149, 0.88169, 1.58756, 0.89172, 1.46804, 1.32644, 1.15131, 1.28803, 1.41527, 1.25072, 1.23923, 1.04861, 1.58703, 1.86255, 1.1011, 1.39857, 1.06991, 1.97023, 1.02761, 1.45037, 1.36479, 1.39247, 1.61473, 1.10298, 1.81927, 1.4706, 2.16735, 1.09042, 0.79528, 1.48153, 1.98472, 1.15648, 1.92513, 1.39895, 1.45496, 1.41905, 1.87857, 1.85298, 1.31841, 1.52239, 1.43619, 1.22453, 1.64015, 1.68598, 1.64036, 1.11015, 1.94017, 1.72932, 1.76955, 1.55308, 1.64144, 2.04791, 2.08428, 2.17961, 1.83877, 1.94768, 1.80108, 1.57105, 1.84634, 2.34665, 1.84206, 1.18514, 2.11775, 1.60567, 2.09231, 1.6267, 1.5069, 1.96137, 1.93138, 1.88639, 1.79226, 1.29368, 2.78913, 1.90246, 2.11369, 2.00446, 2.69403, 1.82671, 2.42965, 2.12931, 1.61202, 2.01761, 2.08423, 2.06459, 2.42307, 1.86146, 2.29019, 2.39866, 2.16714, 2.11825, 2.10893, 1.68336, 2.36034, 2.67063, 9.61752, NaN, 0.99953, 2.81746, 0.0, 4.38466, NaN, 2.12149, 1.46067, 1.80047, 0.0, 2.95728, NaN, 0.0, 0.41587, 3.69992, 0.0, 4.85415, 0.0, 0.0, 1.86326, 0.05166, 3.57109, 0.0, 2.19901, 1.74853, 2.13618, 4.05909, 0.0, 2.29815, 2.23603, 2.22079, 2.94687, 0.0, 2.78214, 1.93307, 3.53187, 0.0, 2.06358, 3.02171, 3.01271, 1.48859, 3.82588, 0.0, 3.57302, 4.12179, 1.31607, 4.13266, 0.0, 3.92905, 1.98121, 1.30794, 2.9489, 3.08289, 5.44554, 0.0, 3.23678, 2.31591, 2.32379, 3.17283, 3.32316, 0.0, 3.26222, 2.19277, 2.98866, 2.77408, 4.96213, NaN, 5.61502, 0.0, 2.29872, 2.37409, 3.36089, 1.78235, 5.05495, NaN, 2.6971, 1.09953, 2.93575, 3.92769, 8.2835, NaN, 4.99779]"
UDE-NN,97565,300,1,10,1,205.4,0.13104,1.77305,0.9914,0.90173,0.79412,0.89575,0.93967,0.9622,0.73469,0.65854,0.78514,0.85071,0.0436,0.35516,0.3709,0.39508,0.3779,0.0436,0.27364,0.27981,0.29194,0.28636,99.99998,4502.54943,21684.59931,126291.2892,101053.031,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0e-5, 1.0e-5, 2.0e-5, 3.0e-5, 5.0e-5, 8.0e-5]","[0.09898, 0.0163, 0.03522, 0.01465, 0.09198, 0.12996, 0.29607, 0.20052, 0.13384, 0.13123, 0.07007, 0.06916, -0.0036, -0.08681, -0.05161, -0.01161, 0.00921, 0.14494, 0.20148, 0.15828, 0.21664, 0.28033, 0.36508, 0.33668, 0.4169, 0.33084, 0.32981, 0.30149, 0.29691, 0.25107, 0.21439, 0.17092, 0.36439, 0.45794, 0.39827, 0.3779, 0.41636, 0.3131, 0.23482, 0.25718, 0.37773, 0.35668, 0.4076, 0.52134, 0.48796, 0.51144, 0.61648, 0.57298, 0.61474, 0.54546, 0.51354, 0.50145, 0.47794, 0.56988, 0.66879, 0.64468, 0.54196, 0.42293, 0.40824, 0.41194, 0.31955, 0.29326, 0.43483, 0.50949, 0.55235, 0.48706, 0.64479, 0.72543, 0.7096, 0.57243, 0.60356, 0.70196, 0.69521, 0.70533, 0.81867, 0.80967, 0.67988, 0.65768, 0.7825, 0.81744, 0.75381, 0.59998, 0.73457, 0.79834, 0.70544, 0.79437, 0.93004, 0.95617, 0.92533, 0.93143, 0.90147, 0.95013, 1.07811, 1.03891, 1.00903, 1.02156, 1.05729, 0.99147, 0.89892, 0.9481, 0.9971, 1.08015, 1.0221, 1.00006, 1.07101, 1.1155, 1.08274, 1.04489, 0.94518, 0.93888, 0.93394, 1.01843, 1.07989, 1.12996, 1.17616, 1.06107, 1.10116, 1.0565, 1.00711, 1.09895, 1.20862, 1.23209, 1.37473, 1.36096, 1.27106, 1.28229, 1.42119, 1.45934, 1.33159, 1.30751, 1.28089, 1.27889, 1.21892, 1.19766, 1.23161, 1.20371, 1.1459, 1.29906, 1.40269, 1.38327, 1.37996, 1.29208, 1.32586, 1.29407, 1.269, 1.40865, 1.43695, 1.536, 1.57061, 1.52061, 1.52201, 1.51922, 1.42332, 1.42948, 1.45533, 1.485, 1.50063, 1.46462, 1.46248, 1.43919, 1.41422, 1.48907, 1.6731, 1.73969, 1.70393, 1.76402, 1.73868, 1.74223, 1.72091, 1.72192, 1.79851, 1.7901, 1.74385, 1.68775, 1.62608, 1.67074, 1.60486, 1.56084, 1.63372, 1.73636, 1.74786, 1.80678, 1.89731, 1.81802, 1.8511, 1.942, 2.05139, 2.0586, 2.18453, 2.07831, 2.01392, 1.90698, 1.89614, 1.84132, 1.85339, 1.80858, 1.85454, 1.90239, 1.92999, 1.93079, 1.89654, 1.8991, 2.12742, 2.13238, 2.14681, 2.03033, 1.97356, 1.9903, 2.0943, 1.99978, 2.05617, 2.1715, 2.1846, 2.19613, 2.23118, 2.31228, 2.27153, 2.22185, 2.19586, 2.16911, 2.22814, 2.2861, 2.24343, 2.18819, 2.24424, 2.17602, 2.17871, 2.16417, 2.14335, 2.11975, 2.09653, 2.07546, 2.05939, 2.07771, 2.09075, 2.10944, 2.11309, 2.11645, 2.11912, 2.12698, 2.14078, 2.14958, 2.15999, 2.17392, 2.18891, 2.21812, 2.22021, 2.2219, 2.22184, 2.22339, 2.23545, 2.23814, 2.2502, 2.26836, 2.28529, 2.30494, 2.31841, 2.33222, 2.34472, 2.35758, 2.37096, 2.38271, 2.39997, 2.40933, 2.41844, 2.42775, 2.44514, 2.45489, 2.46664, 2.49835, 2.53593, 2.56624, 2.59519, 2.63032, 2.66274, 2.71329, 2.72304, 2.73261, 2.76149, 2.7627, 2.77437, 2.76588, 2.77291, 2.75583, 2.76065, 2.82989, 2.84314, 2.84538, 2.84873, 2.84204, 2.83365, 2.82767, 2.82147, 2.80908, 2.80082, 2.8019, 2.83553, 2.85014, 2.86669, 2.87572]"
GP,97565,300,1,10,1,1269.942,0.628,1.77305,0.84314,0.84564,0,0.56292,0.72819,0.77778,0.82927,0,0.53568,0.62394,0.0436,0.35516,0.3709,0.39508,0.3779,0.0436,0.27364,0.27981,0.29194,0.28636,99.99998,4502.54922,21684.59972,126291.5115,101053.2087,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0e-5, 1.0e-5, 2.0e-5, 3.0e-5, 5.0e-5, 8.0e-5]","[0.01158, 0.02126, 0.0306, 0.04072, 0.05132, 0.05992, 0.06736, 0.07676, 0.08922, 0.10189, 0.11347, 0.12457, 0.13622, 0.14855, 0.16063, 0.17117, 0.18547, 0.20169, 0.21751, 0.23321, 0.24978, 0.26624, 0.28436, 0.29896, 0.31271, 0.32771, 0.33863, 0.3523, 0.36515, 0.37878, 0.38979, 0.39907, 0.41133, 0.42296, 0.43362, 0.44298, 0.4511, 0.45886, 0.47, 0.48103, 0.49163, 0.50246, 0.51224, 0.52014, 0.5265, 0.53196, 0.53871, 0.54475, 0.54944, 0.55399, 0.55845, 0.56298, 0.56976, 0.57719, 0.58519, 0.5938, 0.60278, 0.61195, 0.62182, 0.63339, 0.64181, 0.64873, 0.6545, 0.65949, 0.66476, 0.66941, 0.67163, 0.67305, 0.67318, 0.67406, 0.67433, 0.67472, 0.67634, 0.67877, 0.68341, 0.68965, 0.69455, 0.701, 0.70792, 0.71628, 0.7235, 0.73121, 0.74027, 0.75077, 0.7582, 0.76401, 0.77183, 0.77998, 0.78619, 0.79177, 0.79824, 0.80479, 0.81007, 0.81602, 0.81897, 0.82051, 0.82339, 0.82492, 0.82698, 0.82925, 0.83469, 0.8395, 0.84705, 0.85637, 0.86806, 0.87744, 0.88741, 0.89896, 0.91127, 0.92343, 0.93348, 0.94392, 0.95604, 0.97124, 0.98714, 1.00228, 1.01662, 1.03117, 1.04548, 1.06063, 1.07582, 1.08949, 1.1024, 1.12088, 1.13295, 1.14956, 1.16738, 1.18519, 1.20251, 1.22165, 1.2402, 1.25649, 1.27198, 1.2859, 1.29807, 1.31064, 1.32353, 1.337, 1.34891, 1.35832, 1.36765, 1.37525, 1.38216, 1.39026, 1.39777, 1.40586, 1.41648, 1.4281, 1.43849, 1.45082, 1.46255, 1.47552, 1.48894, 1.50007, 1.51302, 1.5269, 1.5381, 1.55279, 1.56981, 1.58723, 1.60386, 1.62211, 1.64078, 1.65817, 1.6742, 1.69114, 1.70571, 1.71809, 1.73309, 1.74703, 1.76303, 1.77735, 1.78945, 1.80104, 1.80895, 1.81802, 1.83054, 1.84101, 1.85261, 1.86112, 1.86914, 1.87579, 1.88215, 1.88942, 1.89832, 1.90943, 1.92386, 1.93776, 1.95201, 1.96276, 1.97328, 1.98272, 1.99087, 1.99729, 2.00297, 2.00773, 2.01203, 2.01841, 2.02598, 2.03407, 2.03968, 2.04431, 2.04844, 2.05248, 2.05412, 2.05373, 2.05081, 2.04923, 2.0476, 2.04627, 2.04509, 2.04559, 2.04665, 2.05006, 2.05435, 2.05939, 2.06404, 2.06846, 2.07146, 2.07397, 2.07359, 2.07099, 2.0658, 2.0584, 2.04896, 2.03826, 2.02493, 2.01132, 1.9968, 1.98192, 1.96684, 1.95191, 1.93722, 1.92271, 1.90904, 1.89434, 1.87981, 1.86481, 1.84988, 1.83501, 1.82059, 1.80624, 1.79169, 1.77718, 1.76267, 1.74811, 1.73379, 1.71886, 1.70393, 1.68894, 1.67423, 1.65992, 1.64517, 1.63099, 1.61632, 1.6014, 1.58668, 1.57162, 1.55663, 1.5415, 1.52652, 1.51165, 1.49675, 1.48229, 1.46745, 1.45256, 1.43771, 1.42352, 1.40872, 1.39421, 1.38026, 1.36579, 1.35099, 1.33617, 1.32182, 1.30729, 1.29304, 1.27824, 1.26355, 1.24949, 1.23507, 1.22076, 1.20615, 1.19195, 1.17758, 1.16363, 1.14978, 1.13528, 1.12041, 1.10559, 1.09061, 1.07563, 1.06094, 1.04625, 1.03147, 1.01711, 1.00293, 0.98891, 0.97424, 0.95961]"
ARIMA,97565,300,1,10,1,19.035,,,,,,,,,,,,,0.01448,0.31839,0.33479,0.35967,0.34151,0.01448,0.24802,0.25193,0.26871,0.25773,33.20781,1.01E+10,1.01E+10,1.26E+10,1.01E+10,"[0.05808, 0.049, 0.05042, 0.0502, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023, 0.05023]",
RandomWalk,97565,300,1,10,1,1.203,,,,,,,,,,,,,0.0436,0.35516,0.3709,0.39508,0.3779,0.0436,0.27364,0.27981,0.29194,0.28636,100,80,80,75,80,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
LSTM,97565,300,1,10,1,599.695,,,,,,,,,,,,,0.24413,0.22556,0.24772,0.26906,0.24979,0.24413,0.19163,0.22388,0.24561,0.22552,559.92764,6.44E+10,6.26E+10,7.80E+10,6.24E+10,"[0.28773, 0.25898, 0.32213, 0.33011, 0.34363, 0.33602, 0.32002, 0.30412, 0.30044, 0.29926, 0.30584, 0.30918, 0.313, 0.3141, 0.31399, 0.31267, 0.31127, 0.31034, 0.31007, 0.31028]",
Alg_c,97565,300,1,10,1,0,1.77305,1.77305,0.92711,0.62264,0.64407,0.73127,0.82245,0.90909,0.5977,0.75758,0.75479,0.82455,,,,,,,,,,,,,,,,,"[0.29121, 0.0, 0.10206, 0.0, 0.19546, 0.0, 0.85886, 0.14626, 0.00225, 0.24267, 0.0, 0.2134, 0.00371, 0.0, 0.0, 0.0, 0.0, 0.30057, 0.39326, 0.0, 0.17067, 0.25432, 0.58325, 0.18212, 0.74327, 0.14367, 0.36831, 0.26556, 0.37623, 0.2356, 0.19325, 0.0, 0.54608, 0.77377, 0.32061, 0.21806, 0.73427, 0.25888, 0.02481, 0.06182, 0.6551, 0.21856, 0.2567, 0.85402, 0.32962, 0.32468, 0.9622, 0.31256, 0.8904, 0.43793, 0.48216, 0.54847, 0.2375, 0.55453, 0.91416, 0.78849, 0.57622, 0.20392, 0.34708, 0.61465, 0.1959, 0.0, 0.60972, 0.54495, 0.84253, 0.0, 0.83337, 0.85806, 1.02847, 0.15058, 0.48164, 0.99055, 0.63568, 0.46075, 1.04266, 1.05456, 0.45712, 0.36545, 0.95489, 0.98076, 0.95738, 0.0, 0.824, 1.17465, 0.26026, 0.71639, 1.14461, 1.06164, 0.81582, 1.03132, 0.75723, 0.77737, 1.44089, 0.97996, 0.9199, 0.92842, 1.29984, 1.09221, 0.52876, 1.00118, 0.87493, 1.4012, 0.90327, 0.80295, 1.1248, 1.27041, 1.08836, 1.16082, 0.76064, 0.95403, 0.74828, 1.07532, 1.10689, 1.16567, 1.49009, 0.77103, 1.25248, 1.0479, 0.71351, 1.03684, 1.4031, 1.04574, 1.65255, 1.4675, 1.03989, 1.01108, 1.62063, 1.77558, 1.16549, 1.26693, 1.24201, 1.3873, 1.14822, 1.08605, 1.35668, 1.2324, 0.72199, 1.35741, 1.65019, 1.32164, 1.59764, 0.99203, 1.48322, 1.31123, 0.90618, 1.65287, 1.28115, 1.68215, 1.7468, 1.40625, 1.54085, 1.72367, 1.19994, 1.38814, 1.44093, 1.51585, 1.59825, 1.41086, 1.49758, 1.41705, 1.16499, 1.24774, 1.90005, 1.93254, 1.54339, 1.92788, 1.67019, 1.78964, 1.65865, 1.57187, 1.96059, 1.86375, 1.76475, 1.73175, 1.403, 1.89101, 1.53024, 1.32532, 1.57443, 1.94479, 1.63, 1.68888, 2.31606, 1.53573, 1.75403, 1.89891, 2.23893, 1.79232, 2.6856, 1.95037, 2.12581, 1.68537, 2.04194, 1.65844, 2.05679, 1.5622, 1.87904, 1.94234, 1.97025, 2.01296, 1.89869, 1.31989, 2.70273, 1.90574, 2.54211, 1.75429, 1.89327, 1.63117, 2.87117, 1.40205, 1.92565, 2.50329, 2.13872, 2.16001, 2.07658, 2.6117, 2.24964, 2.1594, 2.26208, 1.95338, 2.19544, 2.5854, 2.32667, 1.51106, 2.97825, 0.0, 2.4729, 3.26634, 8.70404, NaN, 0.0, 2.03918, 0.0, 2.28829, 0.0, 3.81104, NaN, 6.84168, 0.0, 1.73597, 2.70213, 1.37966, 1.43343, 2.57573, 0.0, 3.39451, NaN, 7.9495, 0.0, 0.0, 3.18895, NaN, 1.81389, 4.12925, 0.0, 3.88679, NaN, 6.70582, NaN, 0.3734, 6.34002, NaN, 2.78786, 0.77995, 9.40888, NaN, 2.65144, 0.0, 0.0, 2.19576, 4.163, 13.96986, NaN, 3.05508, 0.0, 3.6409, NaN, 0.0, 3.37697, 0.0, 4.26499, NaN, 3.62512, 0.0, 1.45678, 3.51127, 10.45137, 0.0, 4.86455, 21.9935, NaN, 2.68525, 6.03708, NaN, 1.86566, 0.0, 3.25386, NaN, 4.67087]"
UDE-NN,16025,300,1,10,1,176.107,0.15626,0.64533,0.97872,0.90123,0.88608,0.92201,0.94364,0.54369,0.2987,0,0.2808,0.4399,0.61011,1.2166,1.29794,1.47454,1.52169,0.61011,1.02252,1.15723,1.32216,1.34398,5.52986,8.15961,9.49937,10.8534,11.13908,"[11.64319, 11.47634, 11.31028, 11.14775, 10.98875, 10.83313, 10.68077, 10.53153, 10.38527, 10.24188, 10.10123, 9.9632, 9.82766, 9.6945, 9.56359, 9.43483, 9.30809, 9.18327, 9.06025, 8.93891]","[-0.30248, -0.39135, -0.45938, -0.45594, -0.20819, -0.07368, -0.05859, -0.11911, -0.08535, 0.0267, 0.07252, -0.19139, -0.11626, 0.05098, -0.11185, -0.1044, -0.03282, 0.05475, 0.12401, 0.05024, 0.17676, 0.12174, 0.07064, 0.30937, 0.33659, 0.15705, 0.27251, 0.35651, 0.35991, 0.45341, 0.42531, 0.38778, 0.35886, 0.32288, 0.32169, 0.39267, 0.36125, 0.30594, 0.22197, 0.183, 0.19441, 0.20435, 0.35344, 0.39193, 0.5036, 0.58417, 0.56381, 0.48417, 0.43003, 0.29952, 0.15445, 0.13693, 0.17684, -0.00017, 0.15313, 0.31005, 0.5178, 0.50381, 0.51942, 0.59633, 0.59677, 0.53647, 0.48281, 0.43793, 0.57753, 0.57824, 0.70206, 0.72812, 0.55505, 0.53278, 0.53372, 0.61952, 0.64548, 0.69583, 0.74632, 0.77502, 0.77704, 0.6772, 0.72011, 0.87283, 0.94518, 0.7919, 0.89529, 1.11034, 1.05294, 0.90348, 0.71483, 0.63635, 0.73707, 0.92241, 0.80005, 0.83699, 0.73664, 0.82514, 0.78016, 0.82604, 1.0322, 1.08259, 1.20481, 1.15059, 1.03848, 0.99382, 1.04736, 0.98761, 0.99902, 1.08491, 0.88531, 0.91687, 1.11012, 1.30269, 1.18957, 1.25479, 1.04336, 0.89163, 0.95074, 0.98643, 1.10475, 1.12079, 1.17816, 1.21432, 1.28417, 1.21192, 1.14147, 1.19053, 1.23965, 1.34767, 1.14576, 1.00242, 1.14544, 1.3303, 1.35968, 1.33979, 1.36574, 1.53504, 1.32755, 1.23336, 1.22494, 1.23791, 1.32135, 1.4475, 1.38912, 1.17991, 1.16842, 1.1986, 1.30265, 1.307, 1.46694, 1.54233, 1.62733, 1.68162, 1.61166, 1.49594, 1.35732, 1.34, 1.33864, 1.32141, 1.30885, 1.26847, 1.21904, 1.18485, 1.22379, 1.36323, 1.42834, 1.48868, 1.56168, 1.5819, 1.60627, 1.61018, 1.60856, 1.60427, 1.5939, 1.57536, 1.54975, 1.53858, 1.56965, 1.68452, 1.83442, 1.95335, 1.92693, 1.92315, 1.96127, 1.96588, 2.03997, 1.96971, 1.88659, 1.80554, 1.78297, 1.97965, 2.02049, 2.04938, 2.02012, 1.88975, 1.76713, 1.75313, 1.9778, 2.10171, 2.30027, 2.277, 2.19823, 2.16655, 2.18155, 2.03139, 2.02964, 2.18306, 2.1632, 1.9046, 1.86466, 1.78481, 1.84901, 1.93788, 2.00172, 1.89082, 1.96037, 2.00627, 2.03514, 2.19164, 2.04323, 2.10683, 2.19651, 2.29771, 2.39236, 2.35078, 2.38152, 2.33051, 2.42019, 2.21057, 2.10726, 2.16863, 2.28966, 2.27075, 2.30289, 2.38894, 2.30903, 2.48706, 2.45379, 2.42696, 2.60574, 2.45719, 2.41139, 2.3788, 2.30969, 2.34663, 2.34925, 2.44146, 2.5488, 2.56235, 2.51656, 2.55441, 2.56696, 2.44158, 2.35328, 2.29449, 2.31826, 2.48085, 2.56726, 2.78423, 2.72746, 2.57715, 2.54561, 2.56269, 2.48711, 2.50809, 2.49002, 2.55454, 2.67528, 2.75134, 2.5987, 2.63628, 2.69897, 2.63863, 2.5328, 2.61296, 2.61662, 2.6518, 2.67956, 2.75805, 2.76929, 2.73611, 2.75647, 2.86789, 2.79127, 2.86664, 2.77108, 2.81145, 2.95683, 3.09227, 3.00002, 2.8711, 2.90426, 2.72805, 2.66987, 2.81846, 2.79876, 2.95846, 2.87372, 2.6834, 2.70755, 2.67215, 2.67741, 2.68754]"
