method,rmse1,rmse10,rmse20,rmse5,seed
DE-KERNEL,0.44337443,2.353395621,82.84975282,1.925042939,52212
DE-KERNEL,8.536060778,4.667458363,4.130197794,5.420174489,28020
DE-KERNEL,0.388448393,1.516094005,1.687892415,1.789041905,69377
DE-KERNEL,0.664362796,1.689536372,1.87558075,1.956475897,49858
DE-KERNEL,0.32466278,1.636657705,1.702028412,1.836968225,96331
DE-KERNEL,0.125227508,1.795155094,1.86732241,1.867366076,16025
DE-KERNEL,0.29590266,1.588565355,1.745589613,1.866622283,93091
DE-KERNEL,0.038575369,1.557981487,1.659404802,1.855460957,79876
DE-KERNEL,0.38511102,1.517646571,1.732369037,1.654892994,88243
DE-KERNEL,0.466802962,1.531200402,2.14921159,1.861330046,66214
DE-KERNEL,0.224970138,1.616515411,1.742602316,1.8307462,7296
DE-KERNEL,0.798211423,1.738567557,1.863746969,1.822772113,91809
DE-KERNEL,0.146550595,1.427017827,1.550292862,1.631087403,91328
DE-KERNEL,0.182278814,1.473815156,1.605711001,1.726537037,9503
DE-KERNEL,0.414773822,1.56966837,1.752266981,1.77839396,44769
DE-KERNEL,0.250789036,1.638513675,1.753535492,1.980901094,27272
DE-KERNEL,0.343301447,1.524046678,1.616531692,1.762669669,93050
UDE-NN,0.062165941,0.033509482,0.029067783,0.047226768,26058
UDE-NN,0.039073764,0.100535533,0.121020405,0.054614258,46189
UDE-NN,0.015180286,0.125898781,0.183057813,0.055890853,77471
UDE-NN,0.071090979,0.10411267,0.105762173,0.072809932,38315
UDE-NN,0.238823245,0.131512164,0.107941334,0.14161213,97565
UDE-NN,0.053210917,0.069164707,0.054477295,0.06239021,60590
UDE-NN,0.016814922,0.031961976,0.041904975,0.029139195,11007
UDE-NN,0.320535601,0.128991457,0.095621257,0.178952604,48073
UDE-NN,0.04723756,0.077419701,0.091283485,0.057735454,69686
UDE-NN,0.080174027,0.038009478,0.043326233,0.049662253,1322
UDE-NN,0.187389867,0.090295101,0.067701868,0.104431134,24415
UDE-NN,0.164118551,0.07211222,0.078505952,0.086261799,15318
UDE-NN,0.005045166,0.023829182,0.023625628,0.023324789,16782
UDE-NN,0.143579711,0.204219598,0.225433562,0.168221106,96004
UDE-NN,0.007848733,0.011429242,0.062421448,0.010819068,8694
UDE-NN,0.013187221,0.064577154,0.157859459,0.021808583,28757
UDE-NN,0.028812585,0.049222893,0.07511321,0.050990843,60467
UDE-NN,0.225733767,0.111862164,0.083259324,0.156387545,29623
UDE-NN,0.039936822,0.027482003,0.022381149,0.018572241,86366
UDE-NN,0.010485858,0.037712093,0.104176809,0.011688046,18423
UDE-NN,0.061245059,0.044743237,0.081248168,0.044151059,46984
UDE-NN,0.009214678,0.089283648,0.14294391,0.041062646,51568
UDE-NN,0.022823643,0.082241429,0.06603757,0.068730863,67883
UDE-NN,0.38950386,0.378051047,0.359781475,0.383138925,89255
UDE-NN,0.032198333,0.031115826,0.0261021,0.032260339,61917
UDE-NN,0.065732128,0.045711351,0.05664283,0.037124434,30563
UDE-NN,0.8510544,0.631196164,0.657519506,0.614235462,54133
UDE-NN,0.038412113,0.122349475,0.105593654,0.127016694,89053
UDE-NN,0.021290872,4.67133408,7.883712369,0.397879106,37085
UDE-NN,0.022908935,0.033121108,0.028115133,0.012721391,6871
UDE-NN,0.154134927,0.069670733,0.081720687,0.090991194,4150
UDE-NN,0.018313333,0.056295106,0.059196678,0.037235644,22918
UDE-NN,0.330975865,0.348132282,0.320693899,0.329536978,52212
UDE-NN,0.649472639,0.517447289,3.781592886,0.408058247,28020
UDE-NN,0.054877146,0.058093324,0.047079007,0.060952249,69377
UDE-NN,0.015245042,0.072158456,0.119829127,0.031697208,49858
UDE-NN,0.212206234,0.302336282,0.374263121,0.278774029,96331
UDE-NN,0.200811155,0.132144488,0.164186954,0.117316769,16025
UDE-NN,0.036513188,0.060784204,0.075199466,0.049193321,93091
UDE-NN,0.004070754,0.023950991,0.044946957,0.025365279,79876
UDE-NN,0.40090873,0.324973132,0.323480587,0.336654456,88243
UDE-NN,0.347867076,0.29808675,0.289171938,0.326984692,66214
UDE-NN,0.145087364,0.064915669,0.054338238,0.089035613,7296
UDE-NN,0.010905334,4.643713178,7.276913506,0.605197898,91809
UDE-NN,0.062930261,0.159985782,0.149126638,0.066417581,91328
UDE-NN,0.060580595,0.07117428,0.092023535,0.063005388,19561
UDE-NN,0.100077363,0.074099048,0.091136594,0.04907889,9503
UDE-NN,0.029969103,0.038635105,0.043139104,0.044707367,44769
UDE-NN,0.028664808,0.071054543,0.077848472,0.087580393,27272
UDE-NN,0.035145243,0.03862326,0.037106659,0.051294636,93050
